表 14 按國籍及性別劃分的外籍家庭傭工[1]數目,,,,,,,,,,,,,,,,,,,
Table 14 Foreign domestic helpers[1] by nationality and sex,,,,,,,,,,,,,,,,,,,
國籍  ,Nationality,性別,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons,人數 Number of persons
菲律賓 ,Philippines,女,F,122720,126513,133761,140766,152007,160589,168706,177619,184762,196619,206281,214329,202941,187506,185712,194936
菲律賓 ,Philippines,男,M,3223,3362,3552,3787,3962,4039,4073,4242,4343,4471,4616,4744,4461,4277,4347,4580
印度尼西亞 ,Indonesia,女,F,123245,130335,140811,148013,149072,148856,149632,150008,153823,159355,165620,170478,157484,139756,139613,147216
印度尼西亞 ,Indonesia,男,M,96,113,130,140,164,178,205,231,250,258,287,350,318,301,348,381
泰國 ,Thailand,女,F,3787,3821,3651,3283,2958,2678,2614,2532,2429,2435,2357,2189,1994,1748,1731,1728
泰國 ,Thailand,男,M,33,37,44,40,32,32,36,28,30,33,35,29,30,27,27,32
其他 ,Others,女,F,2745,2856,3005,3181,3454,3862,4612,4929,5064,5628,6016,6280,5798,5044,5540,6404
其他 ,Others,男,M,748,741,727,751,746,754,772,791,812,852,863,921,858,792,871,954
總計,Total,女,F,252497,263525,281228,295243,307491,315985,325564,335088,346078,364037,380274,393276,368217,334054,332596,350284
總計,Total,男,M,4100,4253,4453,4718,4904,5003,5086,5292,5435,5614,5801,6044,5667,5397,5593,5947
總計,Total,總計,Total,256597,267778,285681,299961,312395,320988,330650,340380,351513,369651,386075,399320,373884,339451,338189,356231
註釋：,[1] 數字為該年年底獲准以外籍家庭傭工身分有限期逗留在港人士的數目。,,,,,,,,,,,,,,,,,,
Note: ,[1] Figures refer to those who have a valid limit of stay in Hong Kong as a foreign domestic helper as at end of the year.,,,,,,,,,,,,,,,,,,
資料來源：,入境事務處（查詢電話： 2824 6111； 查詢電郵： enquiry@immd.gov.hk）,,,,,,,,,,,,,,,,,,
Source: ,Immigration Department,,,,,,,,,,,,,,,,,,
,(Enquiry telephone no.: 2824 6111; Enquiry e-mail: enquiry@immd.gov.hk) ,,,,,,,,,,,,,,,,,,
