表 16 按每月就業收入及性別劃分的就業人士工作時數[1]中位數,,,,,,,,,,,,,,,,,
Table 16 Median hours of work[1] of employed persons by monthly employment earnings and sex,,,,,,,,,,,,,,,,,
每月就業收入（港元） Monthly employment earnings (HK$),性別,Sex,2001,2006,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours,時數 Hours
"< 3,000",女,F,24,20,15,14,12,12,10,10,10,10,10,10,9,9,10
"< 3,000",男,M,33,21,18,16,12,12,10,10,10,12,12,14,14,15,16
"3,000 - 3,999",女,F,60,60,60,60,60,60,25,16,16,16,15,15,15,14,15
"3,000 - 3,999",男,M,36,32,25,24,20,20,16,16,16,16,16,16,16,12,12
"4,000 - 4,999",女,F,48,48,40,36,45,60,60,60,60,60,60,60,60,60,60
"4,000 - 4,999",男,M,40,42,32,27,27,24,24,24,20,20,20,18,20,20,19
"5,000 - 5,999",女,F,48,48,43,39,35,32,30,30,30,32,40,48,48,54,54
"5,000 - 5,999",男,M,48,48,40,35,32,28,27,24,24,24,24,23,21,20,20
"6,000 - 6,999",女,F,48,48,48,48,42,40,36,35,32,30,30,30,35,40,40
"6,000 - 6,999",男,M,48,48,48,40,40,36,33,32,30,30,25,25,24,24,24
"7,000 - 7,999",女,F,48,48,48,48,48,48,44,40,40,36,35,32,35,35,32
"7,000 - 7,999",男,M,48,48,48,48,45,43,40,38,35,35,32,30,30,28,24
"8,000 - 8,999",女,F,45,46,48,48,48,48,48,45,45,42,40,36,36,36,35
"8,000 - 8,999",男,M,48,48,48,48,48,45,44,42,40,40,40,35,36,35,32
"9,000 - 9,999",女,F,44,45,48,48,48,48,48,48,48,48,45,42,40,40,40
"9,000 - 9,999",男,M,48,48,48,48,48,48,48,45,44,42,42,40,40,38,36
"10,000 - 14,999",女,F,44,44,44,44,44,44,45,45,45,45,45,44,45,44,44
"10,000 - 14,999",男,M,48,48,48,48,48,48,48,48,45,48,45,45,45,43,40
"15,000 - 19,999",女,F,44,44,43,44,42,40,43,42,42,44,44,41,44,44,44
"15,000 - 19,999",男,M,48,48,48,48,48,48,48,48,48,48,48,45,45,45,45
"20,000 - 29,999",女,F,43,44,42,42,40,40,40,40,40,40,40,40,40,40,40
"20,000 - 29,999",男,M,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
"≧ 30,000",女,F,44,44,44,43,42,40,40,40,40,40,40,40,40,40,40
"≧ 30,000",男,M,44,45,45,44,44,44,44,44,44,44,44,44,44,44,43
合計 Overall,女,F,44,45,45,45,45,44,44,44,44,44,44,42,44,44,43
合計 Overall,男,M,48,48,48,45,45,45,45,45,44,45,45,44,45,44,43
合計 Overall,合計,Overall,48,48,45,45,45,45,45,44,44,44,44,44,44,44,43
註釋：  ,[1] 指在統計前7天內所有工作的工作時數。,,,,,,,,,,,,,,,,
Note:,[1] Referring to hours of work of all employment during the 7 days before enumeration.,,,,,,,,,,,,,,,,
資料來源：,政府統計處綜合住戶統計調查組（三） （查詢電話： 2887 5508； 查詢電郵： ghs@censtatd.gov.hk）,,,,,,,,,,,,,,,,
Source: ,"General Household Survey Section (3), Census and Statistics Department ",,,,,,,,,,,,,,,,
,(Enquiry telephone no.: 2887 5508; Enquiry e-mail: ghs@censtatd.gov.hk),,,,,,,,,,,,,,,,
