表 1A 按經濟活動身分及性別劃分的15歲及以上人口[1]（不包括外籍家庭傭工）,,,,,,,,,,,,,,,,,,
Table 1A Population aged 15 and over[1] (excluding foreign domestic helpers) by economic activity status and sex,,,,,,,,,,,,,,,,,,
經濟活動身分,Economic activity status,性別,Sex,2001,2006,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands
從事經濟活動（勞動人口）,Economically active (Labour force),女,F,1281.5,1421.8,1511.4,1548.1,1590.5,1609.8,1627,1630.8,1653.2,1665,1672,1636.9,1622.6,1576,1601.4
從事經濟活動（勞動人口）,Economically active (Labour force),男,M,1961,1948.2,1939.5,1968.2,1990.8,1986.8,1994.9,1992.7,1995.2,2012.9,1987.2,1952.4,1920.2,1883,1898
從事經濟活動（勞動人口） - 就業,Economically active (Labour force) - Employed,女,F,1225,1361,1462.2,1498.2,1535.2,1553.2,1566.3,1571.5,1597.1,1617,1626.1,1543.8,1540.4,1509.4,1554.9
從事經濟活動（勞動人口） - 就業,Economically active (Labour force) - Employed,男,M,1843.1,1838,1862,1893.8,1915,1915.8,1926.2,1919,1927.7,1948.8,1916.8,1817.9,1802.2,1786.5,1831.8
從事經濟活動（勞動人口） - 失業,Economically active (Labour force) - Unemployed,女,F,56.5,60.8,49.2,49.9,55.3,56.6,60.7,59.3,56,48,45.9,93.1,82.2,66.6,46.4
從事經濟活動（勞動人口） - 失業,Economically active (Labour force) - Unemployed,男,M,117.8,110.2,77.5,74.3,75.8,71,68.7,73.7,67.6,64.1,70.4,134.5,118,96.5,66.3
非從事經濟活動 ,Economically inactive,女,F,1419.6,1461.4,1564.1,1571.7,1555.1,1567.9,1576,1587.4,1591.7,1605.1,1629.5,1651,1646.5,1682.3,1756.5
非從事經濟活動 ,Economically inactive,男,M,725.3,799,897.1,897.5,887.2,901.2,904.5,913.4,924.8,920.8,955.4,992.8,1001.7,1028.5,1088.6
非從事經濟活動 - 由於料理家務,Economically inactive - For reason of engaging in household duties,女,F,744.6,644.8,658.8,680.4,641.5,630.2,620.3,628.1,630.6,620.8,616.2,614.9,605.8,592.7,587.8
非從事經濟活動 - 由於料理家務,Economically inactive - For reason of engaging in household duties,男,M,9.2,12.5,14.5,13.9,14.4,16.3,17.3,19,17.4,20.5,32.6,38.5,34.1,40.7,38.7
非從事經濟活動 - 由於退休／年老,Economically inactive - For reason of retirement / old age,女,F,387.4,459.1,536.5,521.8,535.7,553.8,590.7,604.9,615.8,645.8,680.9,705.4,732.7,762.3,824.1
非從事經濟活動 - 由於退休／年老,Economically inactive - For reason of retirement / old age,男,M,398.4,429.6,500.9,503.5,502.3,513.1,527.7,540.7,556.1,567.9,594.8,619.5,649.1,656.8,698.9
非從事經濟活動 - 由於求學,Economically inactive - For reason of attending educational institutions,女,F,236.2,246.9,268.7,267.9,251.8,245.2,228.1,222.4,216.4,208.4,199.3,195.7,188.4,191.9,214.3
非從事經濟活動 - 由於求學,Economically inactive - For reason of attending educational institutions,男,M,240.1,251.9,277.2,275.2,263.8,256.3,244.8,236.3,229.4,215.7,204,201.8,193.8,197.9,217.5
非從事經濟活動 - 其他原因,Economically inactive - Other reasons,女,F,51.4,110.6,100.1,101.6,126.1,138.6,136.8,132,128.9,130.1,133.1,135,119.5,135.3,130.3
非從事經濟活動 - 其他原因,Economically inactive - Other reasons,男,M,77.7,104.9,104.4,104.8,106.8,115.5,114.6,117.4,121.9,116.7,124,133,124.7,133.2,133.5
總計,Total,女,F,2701.2,2883.2,3075.6,3119.8,3145.6,3177.7,3203,3218.2,3244.9,3270,3301.5,3287.9,3269.1,3258.2,3357.9
總計,Total,男,M,2686.3,2747.2,2836.6,2865.7,2878,2888,2899.4,2906.1,2920,2933.7,2942.6,2945.2,2921.9,2911.4,2986.6
總計,Total,總計,Total,5387.5,5630.5,5912.1,5985.5,6023.6,6065.6,6102.4,6124.3,6164.9,6203.8,6244.2,6233.1,6191,6169.7,6344.5
註釋：  ,[1] 只包括15歲及以上陸上非住院人口。,,,,,,,,,,,,,,,,,
Note:,[1] Including land-based non­institutional population aged 15 and over only.,,,,,,,,,,,,,,,,,
資料來源：,政府統計處綜合住戶統計調查組（三）（查詢電話： 2887 5508； 查詢電郵： ghs@censtatd.gov.hk）,,,,,,,,,,,,,,,,,
Source: ,"General Household Survey Section (3), Census and Statistics Department ",,,,,,,,,,,,,,,,,
,(Enquiry telephone no.: 2887 5508; Enquiry e-mail: ghs@censtatd.gov.hk),,,,,,,,,,,,,,,,,
