表 6 按行業[1]、所有工作時數[2]及性別劃分的就業人數,,,,,,,,,,,,,,,,,,,
"Table 6 Employed persons by industry[1], hours of work[2] of all employment and sex",,,,,,,,,,,,,,,,,,,
按香港標準行業分類2.0版編製,,,,,,,,,,,,,,,,,,,
Based on Hong Kong Standard Industrial Classification (HSIC) Version 2.0,,,,,,,,,,,,,,,,,,,
行業 Industry,工作時數 Hours of work,性別,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands,千人 Thousands
製造 Manufacturing,<18,女,F,3.6,4.7,2.9,3.3,3.5,3.7,3.7,3.9,3.7,3.8,2.6,3.7,3.5,1.7,2.6,3.3
製造 Manufacturing,<18,男,M,3.9,3.9,1.8,2.8,4.6,2.5,3.5,3.1,2.7,3.1,2,3,4.5,2.9,3.8,2.8
製造 Manufacturing,18 - 29,女,F,3.3,3.1,1.9,2.3,2.5,3.1,2.7,2.7,2.2,4.2,2.7,2.3,3.4,2,2,2.4
製造 Manufacturing,18 - 29,男,M,2.2,2.6,2,1.4,3.2,2.1,3.7,2.5,2.4,4.4,2.2,3.1,4.2,2.4,1.8,2.4
製造 Manufacturing,30 - 39,女,F,7.6,7.2,4.1,6.1,5.5,5.4,6.5,4.5,5.6,4.9,4.4,4.2,4,3.9,4,4.8
製造 Manufacturing,30 - 39,男,M,9.8,10.2,4.7,7.1,6.8,8,9.1,6.8,7.6,7,7.1,6,6.4,5.1,6.5,5.7
製造 Manufacturing,40 - 49,女,F,27.9,26.5,23.4,23.3,22.9,21,24,21.5,21.7,19.7,17.7,20.2,20.4,18.7,17.3,17.5
製造 Manufacturing,40 - 49,男,M,57.5,54.8,49.9,48.3,47.4,48.8,47.3,42.8,46.4,40.7,38.7,34.6,36.3,34.5,32.5,30.5
製造 Manufacturing,50 - 59,女,F,8.6,5.9,6.7,5.6,6.2,5.5,4.4,4.4,4,3.4,4,4.4,3.8,3.8,5.4,3.2
製造 Manufacturing,50 - 59,男,M,23.6,16.8,18.4,18.9,18.4,14.2,14.2,12.7,12.1,12.5,12.9,12.9,10,10.2,8.5,8.3
製造 Manufacturing,≧60,女,F,3,2.8,3.3,2.5,3.2,2.3,2.1,1.3,1.9,1.3,2.4,1.9,1.6,1.9,1.8,2.1
製造 Manufacturing,≧60,男,M,14.8,11.5,13.5,11.2,9.1,9.9,8.9,7.3,7.4,6.6,7.1,8.6,6.5,7.2,5.7,6.5
製造 Manufacturing,小計 Sub-total,女,F,53.9,50.1,42.5,43,43.9,40.8,43.4,38.3,39.1,37.3,33.8,36.7,36.8,32,33,33.3
製造 Manufacturing,小計 Sub-total,男,M,111.8,99.8,90.3,89.9,89.5,85.4,86.6,75.2,78.7,74.3,70,68.1,67.7,62.3,58.9,56.2
建造 Construction,<18,女,F,1.2,1.2,1.2,1,1.7,1.5,2.1,2.1,2.3,2.5,2.2,2.7,2.9,1.9,3.3,3.2
建造 Construction,<18,男,M,15.5,17.7,11.7,13.8,16.2,13.8,18.5,16.1,17.6,22.6,20.3,22.4,25.5,19.6,25.8,25.3
建造 Construction,18 - 29,女,F,1.6,1.6,0.9,1.3,1.9,2.1,2.3,1.3,2,2.4,2.9,2.8,2.4,2.7,3.2,3.1
建造 Construction,18 - 29,男,M,17,20,14.7,13.8,18,18,20.7,19.4,19.8,23,23.7,21,22.8,21.3,20,23
建造 Construction,30 - 39,女,F,3.6,3.4,2.4,3.7,3.2,5.1,4.5,4.7,4.5,4.4,4.6,5.5,4.7,3.9,5.5,6.3
建造 Construction,30 - 39,男,M,30.5,31.4,24,27.7,31.3,33.2,35.2,33.6,35.9,41.3,37.1,38.3,28.7,28.3,35.2,40.9
建造 Construction,40 - 49,女,F,11,12,13.6,13.4,14.6,16.4,17.4,19.7,18.5,18.6,22.2,20.9,20.5,23,21.3,23.9
建造 Construction,40 - 49,男,M,131,125.5,127.8,136.9,144.8,156.3,147.1,155.3,161.9,162.7,169.1,150.3,131.8,141.7,143.2,155.6
建造 Construction,50 - 59,女,F,2.4,2.2,3.1,3.4,3.3,3.5,3.9,3.6,4.8,4,3.4,5.2,4.3,6.1,4.2,4.6
建造 Construction,50 - 59,男,M,36.3,33.1,42.9,44.3,38.9,40.4,40.5,41,41.2,41.8,45.3,44.1,41.2,49.3,44.2,40.6
建造 Construction,≧60,女,F,0.6,0.7,1.1,0.8,0.7,0.9,0.8,1.5,1.5,1.2,1.5,2.3,2.2,2.3,2.2,1.9
建造 Construction,≧60,男,M,14.6,13.6,21.4,17.1,15.7,17.7,16.7,18.5,18.5,18.4,20.1,23.2,23.6,25.8,23.6,20.6
建造 Construction,小計 Sub-total,女,F,20.4,21.1,22.4,23.5,25.3,29.6,31,32.9,33.4,33,36.8,39.3,37.1,39.9,39.6,43
建造 Construction,小計 Sub-total,男,M,245,241.3,242.5,253.5,264.7,279.4,278.7,283.7,294.9,309.8,315.5,299.2,273.6,285.9,291.9,306
進出口貿易及批發 Import/export trade and wholesale,<18,女,F,10.3,12.5,9.2,10.8,13.2,10.7,12.4,14.2,13.3,13.2,11,12.1,9.5,10.5,9.1,9.6
進出口貿易及批發 Import/export trade and wholesale,<18,男,M,7.5,7.9,6.9,7.3,9.9,7.3,10.3,9.9,8.5,10,8,9.9,9.9,7.9,8.9,9.5
進出口貿易及批發 Import/export trade and wholesale,18 - 29,女,F,12.8,13.8,9.6,11,20.5,15.3,18.9,14.2,11.3,18.6,12.8,11.5,13.9,10.3,10.8,10.8
進出口貿易及批發 Import/export trade and wholesale,18 - 29,男,M,7.1,10.2,6.4,7.7,14.1,8.5,13.4,8.4,7.3,13.2,9.9,7.7,9.4,6.5,7.1,8.2
進出口貿易及批發 Import/export trade and wholesale,30 - 39,女,F,56.2,44.8,28.9,43.9,37.6,44.8,42.9,34.6,40,37,36.7,32.4,22.6,19.2,25.4,27
進出口貿易及批發 Import/export trade and wholesale,30 - 39,男,M,39.5,35.5,25.3,35.1,32.6,34.3,34.9,30.5,35.9,32.1,31,25.7,19.5,15.7,20.3,21.6
進出口貿易及批發 Import/export trade and wholesale,40 - 49,女,F,167.4,164.6,173.9,155.9,171.1,158.3,148.9,148.8,143.5,133.7,135.5,114.6,102,107.7,102,96.6
進出口貿易及批發 Import/export trade and wholesale,40 - 49,男,M,165.3,162.3,159.4,154.1,158.7,153.2,144.9,147,136.2,128.4,134.1,112,96.2,95,93.7,92.1
進出口貿易及批發 Import/export trade and wholesale,50 - 59,女,F,33.6,30.6,36.5,35.3,34.1,26.7,21.1,21.7,18.1,18.5,18.4,17.5,13.6,12.9,11.4,9.3
進出口貿易及批發 Import/export trade and wholesale,50 - 59,男,M,53.4,46.3,51.1,47.8,44.1,37.3,35.8,32.9,31.6,26.6,31,26.8,19,17.2,16.4,14.9
進出口貿易及批發 Import/export trade and wholesale,≧60,女,F,9.3,9.9,10.2,9.4,6.4,7.4,4.2,4.5,4.6,5.5,5.1,6.7,4.5,4.2,4.1,3.5
進出口貿易及批發 Import/export trade and wholesale,≧60,男,M,26.5,23.8,29.6,20.6,19.7,18.7,14.6,13.3,14.9,13.7,13.8,14.3,11.2,9.2,9.8,8.9
進出口貿易及批發 Import/export trade and wholesale,小計 Sub-total,女,F,289.6,276.2,268.3,266.3,282.9,263.1,248.4,238.1,230.9,226.6,219.5,194.9,166.1,164.9,162.7,156.8
進出口貿易及批發 Import/export trade and wholesale,小計 Sub-total,男,M,299.3,286,278.7,272.6,279,259.3,253.9,242.1,234.5,224,227.8,196.4,165.2,151.5,156.2,155.3
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",<18,女,F,14.7,16.5,15.9,20.4,19.3,24.3,28.5,29.5,29.7,33.6,33.3,34,35.4,25.5,31.9,33.2
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",<18,男,M,8.1,8.2,8.2,8.2,9.2,10.5,13.7,13.7,15.7,15.3,15.3,16.2,17.9,14.1,16.4,14.4
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",18 - 29,女,F,19.8,21.2,19.9,21.2,23.5,25.7,29.9,32.3,31.4,34.6,33.3,32.5,31.7,28.3,29,28.8
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",18 - 29,男,M,7.2,7.6,7,8.4,8.3,10,11.9,10.9,12.2,14.1,12.8,13.2,13.8,12.1,12.9,11.8
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",30 - 39,女,F,26.3,26,25.6,28.3,31,33.3,33.1,36.7,37,39.1,40.3,36.9,36.8,32.5,36.4,34.4
