 , ,Consumer Price Index (A),Consumer Price Index (A),Consumer Price Index (A)
,,Index,Year-on-year % change,Month-to-month % change
Year,Month,,,
2017,Jan,93.9,0.8,-0.1
2017,Feb,94,-0.6,0.1
2017,Mar,94.2,0.2,0.2
2017,Apr,94.6,2.2,0.4
2017,May,94.5,2.3,-0.1
2017,Jun,94.4,2.3,0
2017,Jul,94.7,2.5,0.3
2017,Aug,94.8,2.4,0.1
2017,Sep,94.7,1.5,-0.1
2017,Oct,95,1.6,0.3
2017,Nov,95.3,1.5,0.3
2017,Dec,95.5,1.7,0.2
2018,Jan,95.7,2,0.2
2018,Feb,96.8,3.1,1.2
2018,Mar,96.7,2.8,-0.1
2018,Apr,96.6,2.2,-0.1
2018,May,96.7,2.3,0
2018,Jun,96.9,2.6,0.2
2018,Jul,97.1,2.5,0.3
2018,Aug,97.2,2.5,0.1
2018,Sep,97.9,3.3,0.7
2018,Oct,98.1,3.2,0.2
2018,Nov,98.1,3,0.1
2018,Dec,98.4,3,0.3
2019,Jan,98.3,2.8,-0.1
2019,Feb,99.4,2.6,1.1
2019,Mar,99.1,2.4,-0.3
2019,Apr,99.5,3,0.4
2019,May,99.6,3.1,0.1
2019,Jun,100.7,3.9,1
2019,Jul,101,3.9,0.3
2019,Aug,101.2,4.1,0.2
2019,Sep,101.3,3.5,0.1
2019,Oct,101.8,3.5,0.2
2019,Nov,101.8,3.5,0
2019,Dec,101.9,3.4,0.1
2020,Jan,95.6,-2,-6.2
2020,Feb,101.9,2.7,6.6
2020,Mar,101.8,2.5,-0.2
2020,Apr,101.8,2.3,0.1
2020,May,101.5,1.7,-0.3
2020,Jun,101.4,0.6,-0.1
2020,Jul,94.8,-6,-6.5
2020,Aug,100.7,-0.6,6.2
2020,Sep,94.9,-5.9,-5.8
2020,Oct,101.3,-0.5,6.7
2020,Nov,101.4,-0.4,0.2
2020,Dec,100.6,-1.3,-0.8
2021,Jan,102.8,7.5,2.1
2021,Feb,103.3,1.3,0.5
2021,Mar,103.2,1.5,0
2021,Apr,103.5,1.6,0.2
2021,May,103.4,1.9,-0.1
2021,Jun,102.8,1.3,-0.6
2021,Jul,102.8,8.4,0
2021,Aug,102.9,2.2,0.1
2021,Sep,96.4,1.6,-6.3
2021,Oct,103.4,2.1,7.2
2021,Nov,103.7,2.2,0.3
2021,Dec,103.7,3,0
2022,Jan,103.9,1.1,0.2
2022,Feb,104.9,1.6,1
2022,Mar,105.1,1.8,0.1
2022,Apr,104.6,1.1,-0.4
2022,May,104.3,0.8,-0.3
2022,Jun,104.6,1.8,0.4
2022,Jul,104.8,1.9,0.2
2022,Aug,104.8,1.9,0
2022,Sep,105,8.9,0.2
2022,Oct,105.4,2,0.4
2022,Nov,105.5,1.8,0.1
2022,Dec,105.8,2.1,0.3
2023,Jan,106.6,2.6,0.7
2023,Feb,106.7,1.7,0.1
2023,Mar,106.8,1.7,0.1
2023,Apr,107,2.2,0.1
2023,May,106.6,2.2,-0.4
2023,Jun,106.8,2.1,0.3
2023,Jul,106.8,1.9,0
2023,Aug,106.7,1.8,-0.1
2023,Sep,107.2,2.1,0.4
2023,Oct,108.8,3.2,1.5
2023,Nov,108.7,3,-0.1
2023,Dec,108.7,2.7,0
2024,Jan,108.8,2,0.1
2024,Feb,109.2,2.3,0.4
2024,Mar,109.3,2.3,0.1
2024,Apr,108.2,1.1,-1.1
2024,May,107.9,1.2,-0.3
2024,Jun,108.7,1.7,0.8
2024,Jul,110.1,3.1,1.3
2024,Aug,110.2,3.2,0.1
2024,Sep,110.3,2.9,0.1
