Table 510-60001A : Consumer Price Indices (October 2019 – September 2020 = 100) at Commodity/Service Section level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,2017,2018,2019,2020,2021,2022,2023,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
Month,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
,,Commodity/service section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composite Consumer Price Index,Index,All items,94.6,96.8,99.6,99.9,101.4,103.3,105.5,93.9,93.8,94.0,94.5,94.4,94.3,94.7,94.8,94.6,94.9,95.2,95.5,95.5,96.7,96.4,96.3,96.4,96.6,96.9,97.0,97.2,97.4,97.6,97.9,97.8,98.7,98.4,99.1,99.0,99.7,100.1,100.3,100.3,100.6,100.7,100.7,98.5,101.0,100.9,101.0,100.7,100.6,97.7,99.9,97.8,100.2,100.3,99.8,101.1,101.4,101.5,101.8,101.6,101.3,101.4,101.5,99.2,102.0,102.2,102.2,102.3,103.1,103.3,103.1,102.9,103.2,103.3,103.4,103.5,103.8,104.0,104.2,104.8,104.9,105.0,105.2,105.0,105.2,105.2,105.2,105.6,106.7,106.6,106.7,106.6,107.1,107.1,106.4,106.2,106.7,107.8,107.8,107.9
Composite Consumer Price Index,Index,Food,89.6,92.7,97.1,100.4,102.0,105.9,108.7,89.1,89.5,89.1,89.2,89.2,89.2,89.5,89.5,89.8,90.4,90.4,90.8,91.1,93.0,92.4,92.3,92.4,92.5,92.7,92.6,93.1,93.2,93.1,93.4,94.1,95.8,95.2,95.1,95.8,97.6,98.1,98.5,98.6,98.8,98.8,99.1,100.6,101.5,100.7,101.0,100.6,100.4,99.1,99.3,100.1,100.5,100.6,100.1,100.5,102.3,102.0,101.7,101.5,101.6,101.8,102.0,102.4,102.8,102.8,103.0,103.4,105.9,106.7,105.8,105.6,105.7,106.0,105.9,106.2,106.3,106.4,106.9,108.6,108.5,108.4,108.5,108.4,108.2,108.2,108.3,109.4,109.4,109.3,109.4,109.7,110.9,110.5,110.4,110.4,110.3,110.2,110.3,110.5
Composite Consumer Price Index,Index,Housing,94.5,96.9,100.2,100.1,100.4,100.7,101.7,93.5,93.6,93.9,94.1,94.2,94.4,94.6,94.8,95.0,95.1,95.3,95.5,95.8,96.0,96.3,95.8,96.1,96.4,96.6,97.0,97.8,98.0,98.2,98.3,98.6,98.9,99.1,99.9,100.1,100.3,100.5,100.7,100.9,101.0,101.1,101.2,95.8,101.5,101.6,101.7,101.7,101.6,95.8,101.3,95.6,101.4,101.6,101.5,101.4,101.3,101.2,101.0,100.9,100.9,100.7,100.6,94.3,100.8,101.0,101.0,101.0,101.0,101.0,100.4,100.4,100.3,100.3,100.3,100.3,101.0,100.9,100.9,100.9,100.9,100.9,100.9,100.9,101.0,101.0,101.1,101.2,103.7,103.8,103.8,103.9,103.9,104.0,101.9,102.0,102.1,104.4,104.4,104.5
Composite Consumer Price Index,Index,"Electricity, gas and water",116.5,122.2,116.4,91.6,116.4,124.7,136.7,109.3,109.4,116.6,117.0,117.5,117.2,117.6,118.3,118.2,119.0,119.0,119.2,120.4,121.2,121.6,121.3,121.5,121.8,122.5,122.3,122.7,123.9,123.8,123.7,114.9,115.6,115.1,116.0,115.5,115.5,115.3,115.9,115.7,119.5,118.8,118.4,95.5,96.1,95.3,93.4,92.4,93.3,93.1,92.6,91.6,90.3,89.0,76.7,119.3,120.0,120.4,120.2,122.5,109.1,109.7,111.2,113.2,115.6,116.7,118.3,116.5,116.7,118.0,120.4,116.5,124.5,126.2,128.2,129.6,131.1,133.5,135.7,140.4,141.0,141.5,141.9,135.7,141.1,138.7,135.5,133.4,131.4,130.3,129.2,129.7,130.0,129.2,128.7,121.0,141.1,141.9,142.0,142.0
Composite Consumer Price Index,Index,Alcoholic drinks and tobacco,97.2,98.5,99.7,100.2,100.3,101.6,118.9,97.3,97.2,97.1,97.8,97.0,96.8,97.2,97.2,97.6,96.8,97.8,97.2,97.1,97.3,98.1,98.0,97.2,98.2,97.8,99.4,99.7,100.2,99.6,99.9,100.1,99.9,100.5,100.2,100.2,100.0,100.1,99.3,98.8,99.4,99.6,98.5,98.5,100.5,100.3,101.0,100.5,100.0,100.3,100.5,100.7,99.5,100.9,100.0,101.0,99.5,100.6,100.5,100.3,100.3,99.9,100.4,100.1,100.3,100.3,100.5,100.8,100.7,100.6,102.2,101.4,101.9,101.9,102.0,102.0,102.1,102.0,102.1,101.6,114.7,119.5,120.7,121.2,120.9,120.7,122.1,121.3,120.8,121.3,121.7,121.4,121.7,140.7,145.9,145.6,147.6,147.4,147.5,147.2
Composite Consumer Price Index,Index,Clothing and footwear,104.2,105.9,103.9,98.6,101.9,107.2,113.4,101.4,98.6,103.4,107.8,105.7,104.0,101.0,99.6,102.2,106.4,112.0,108.1,104.1,102.1,104.3,108.8,107.2,107.7,103.5,101.5,104.7,108.5,111.7,106.5,104.4,100.6,104.7,107.6,105.9,104.4,101.4,101.0,102.8,104.6,106.8,102.1,98.6,98.1,100.7,102.6,100.2,98.8,97.1,94.2,96.2,99.1,101.0,97.1,96.9,95.0,101.1,104.1,101.8,102.0,99.1,99.2,104.6,105.1,107.7,105.6,102.8,102.6,105.5,107.9,107.5,107.6,105.6,105.0,107.7,109.9,113.3,111.0,108.8,108.3,112.1,114.7,113.7,113.7,112.5,111.9,114.7,116.8,118.7,115.4,112.6,109.6,112.4,115.4,115.0,113.0,111.2,109.9,112.8
